"Plot Title: 32deg"
"#","Date Time, GMT+09:30","Temp, °C (LGR S/N: 10484773, SEN S/N: 10484773)","Intensity, Lux (LGR S/N: 10484773, SEN S/N: 10484773)","Coupler Detached (LGR S/N: 10484773)","Coupler Attached (LGR S/N: 10484773)"
271,06/13/14 11:41:06  PM,31.880,0.0,,
272,06/13/14 11:42:06  PM,31.880,0.0,,
273,06/13/14 11:43:06  PM,31.880,0.0,,
274,06/13/14 11:44:06  PM,31.880,0.0,,
275,06/13/14 11:45:06  PM,31.880,0.0,,
276,06/13/14 11:46:06  PM,31.983,0.0,,
277,06/13/14 11:47:06  PM,31.880,0.0,,
278,06/13/14 11:48:06  PM,31.880,0.0,,
279,06/13/14 11:49:06  PM,31.880,0.0,,
280,06/13/14 11:50:06  PM,31.880,0.0,,
281,06/13/14 11:51:06  PM,31.880,0.0,,
282,06/13/14 11:52:06  PM,31.880,0.0,,
283,06/13/14 11:53:06  PM,31.880,0.0,,
284,06/13/14 11:54:06  PM,31.880,0.0,,
285,06/13/14 11:55:06  PM,31.880,0.0,,
286,06/13/14 11:56:06  PM,31.880,0.0,,
287,06/13/14 11:57:06  PM,31.983,0.0,,
288,06/13/14 11:58:06  PM,31.880,0.0,,
289,06/13/14 11:59:06  PM,31.880,0.0,,
290,06/14/14 12:00:06  AM,31.880,0.0,,
291,06/14/14 12:01:06  AM,31.983,0.0,,
292,06/14/14 12:02:06  AM,31.983,0.0,,
293,06/14/14 12:03:06  AM,31.880,0.0,,
294,06/14/14 12:04:06  AM,31.983,0.0,,
295,06/14/14 12:05:06  AM,31.880,0.0,,
296,06/14/14 12:06:06  AM,31.880,0.0,,
297,06/14/14 12:07:06  AM,31.880,0.0,,
298,06/14/14 12:08:06  AM,31.983,0.0,,
299,06/14/14 12:09:06  AM,31.983,0.0,,
300,06/14/14 12:10:06  AM,31.983,0.0,,
301,06/14/14 12:11:06  AM,31.880,0.0,,
302,06/14/14 12:12:06  AM,31.880,0.0,,
303,06/14/14 12:13:06  AM,31.880,0.0,,
304,06/14/14 12:14:06  AM,31.880,0.0,,
305,06/14/14 12:15:06  AM,31.880,0.0,,
306,06/14/14 12:16:06  AM,31.880,0.0,,
307,06/14/14 12:17:06  AM,31.880,0.0,,
308,06/14/14 12:18:06  AM,31.880,0.0,,
309,06/14/14 12:19:06  AM,31.880,0.0,,
310,06/14/14 12:20:06  AM,31.880,0.0,,
311,06/14/14 12:21:06  AM,31.880,0.0,,
312,06/14/14 12:22:06  AM,31.880,0.0,,
313,06/14/14 12:23:06  AM,31.880,0.0,,
314,06/14/14 12:24:06  AM,31.880,0.0,,
315,06/14/14 12:25:06  AM,31.880,0.0,,
316,06/14/14 12:26:06  AM,31.880,0.0,,
317,06/14/14 12:27:06  AM,31.880,0.0,,
318,06/14/14 12:28:06  AM,31.880,0.0,,
319,06/14/14 12:29:06  AM,31.880,0.0,,
320,06/14/14 12:30:06  AM,31.983,0.0,,
321,06/14/14 12:31:06  AM,31.880,0.0,,
322,06/14/14 12:32:06  AM,31.880,0.0,,
323,06/14/14 12:33:06  AM,31.880,0.0,,
324,06/14/14 12:34:06  AM,31.880,0.0,,
325,06/14/14 12:35:06  AM,31.880,0.0,,
326,06/14/14 12:36:06  AM,31.880,0.0,,
327,06/14/14 12:37:06  AM,31.880,0.0,,
328,06/14/14 12:38:06  AM,31.983,0.0,,
329,06/14/14 12:39:06  AM,31.983,0.0,,
330,06/14/14 12:40:06  AM,31.880,0.0,,
331,06/14/14 12:41:06  AM,31.880,0.0,,
332,06/14/14 12:42:06  AM,31.983,0.0,,
333,06/14/14 12:43:06  AM,31.983,0.0,,
334,06/14/14 12:44:06  AM,31.983,0.0,,
335,06/14/14 12:45:06  AM,31.880,0.0,,
336,06/14/14 12:46:06  AM,31.880,0.0,,
337,06/14/14 12:47:06  AM,31.983,0.0,,
338,06/14/14 12:48:06  AM,31.880,0.0,,
339,06/14/14 12:49:06  AM,31.983,0.0,,
340,06/14/14 12:50:06  AM,31.880,0.0,,
341,06/14/14 12:51:06  AM,31.880,0.0,,
342,06/14/14 12:52:06  AM,31.880,0.0,,
343,06/14/14 12:53:06  AM,31.880,0.0,,
344,06/14/14 12:54:06  AM,31.880,0.0,,
345,06/14/14 12:55:06  AM,31.880,0.0,,
346,06/14/14 12:56:06  AM,31.880,0.0,,
347,06/14/14 12:57:06  AM,31.880,0.0,,
348,06/14/14 12:58:06  AM,31.880,0.0,,
349,06/14/14 12:59:06  AM,31.880,0.0,,
350,06/14/14 01:00:06  AM,31.880,0.0,,
351,06/14/14 01:01:06  AM,31.880,0.0,,
352,06/14/14 01:02:06  AM,31.880,0.0,,
353,06/14/14 01:03:06  AM,31.880,0.0,,
354,06/14/14 01:04:06  AM,31.880,0.0,,
355,06/14/14 01:05:06  AM,31.880,0.0,,
356,06/14/14 01:06:06  AM,31.880,0.0,,
357,06/14/14 01:07:06  AM,31.880,0.0,,
358,06/14/14 01:08:06  AM,31.880,0.0,,
359,06/14/14 01:09:06  AM,31.880,0.0,,
360,06/14/14 01:10:06  AM,31.880,0.0,,
361,06/14/14 01:11:06  AM,31.880,0.0,,
362,06/14/14 01:12:06  AM,31.880,0.0,,
363,06/14/14 01:13:06  AM,31.880,0.0,,
364,06/14/14 01:14:06  AM,31.880,0.0,,
365,06/14/14 01:15:06  AM,31.880,0.0,,
366,06/14/14 01:16:06  AM,31.880,0.0,,
367,06/14/14 01:17:06  AM,31.983,0.0,,
368,06/14/14 01:18:06  AM,31.983,0.0,,
369,06/14/14 01:19:06  AM,31.983,0.0,,
370,06/14/14 01:20:06  AM,31.983,0.0,,
371,06/14/14 01:21:06  AM,31.880,0.0,,
372,06/14/14 01:22:06  AM,31.983,0.0,,
373,06/14/14 01:23:06  AM,31.983,0.0,,
374,06/14/14 01:24:06  AM,31.983,0.0,,
375,06/14/14 01:25:06  AM,31.983,0.0,,
