Name,CL.1d_log2,CL.3d_log2,AH.1d_log2,AH.3d_log2,CL.1d,CL.3d,AH.1d,AH.3d
aug_v2a.05794,-0.552434245,NA,NA,NA,0,0,0,0
aug_v2a.16427,-0.552282632,NA,NA,NA,0,0,0,0
aug_v2a.22829,-0.551166974,NA,NA,NA,0,0,0,0
aug_v2a.08772,-0.550977589,NA,NA,NA,0,0,0,0
aug_v2a.05331,-0.549577688,NA,-0.522581555,NA,0,0,0,0
aug_v2a.10627,-0.54891453,NA,-0.732847541,-0.538907686,0,0,1,0
aug_v2a.09588,-0.548671817,NA,-0.389371451,NA,0,0,0,0
aug_v2a.23915,-0.548019258,-0.560417645,-0.750406252,-0.716309218,0,0,1,1
aug_v2a.00772,-0.547952439,NA,NA,NA,0,0,0,0
aug_v2a.20028,-0.547914377,NA,-0.816561215,-0.487869621,0,0,1,0
aug_v2a.19398,-0.54759274,NA,-0.404690295,-0.418653576,0,0,0,0
aug_v2a.10629,-0.547515803,NA,NA,NA,0,0,0,0
aug_v2a.08904,-0.54723677,NA,-0.63242522,NA,0,0,1,0
aug_v2a.03328,-0.54649658,NA,NA,-0.408662232,0,0,0,0
aug_v2a.01942,-0.545509318,NA,-0.500974778,-0.40359786,0,0,0,0
aug_v2a.00200,-0.544830664,NA,NA,NA,0,0,0,0
aug_v2a.14924,-0.544332149,NA,-0.427328304,NA,0,0,0,0
aug_v2a.10391,-0.544184427,NA,-0.480555127,NA,0,0,0,0
aug_v2a.10869,-0.543417474,NA,NA,NA,0,0,0,0
aug_v2a.06521,-0.543416621,NA,NA,NA,0,0,0,0
aug_v2a.18865,-0.543302613,NA,NA,NA,0,0,0,0
aug_v2a.11167,-0.54239085,NA,-0.43888926,-0.437711169,0,0,0,0
aug_v2a.00769,-0.542161439,NA,NA,NA,0,0,0,0
aug_v2a.01020,-0.542123563,NA,-0.361654275,NA,0,0,0,0
aug_v2a.20591,-0.542027684,NA,NA,NA,0,0,0,0
aug_v2a.08164,-0.541999431,NA,NA,NA,0,0,0,0
aug_v2a.24724,-0.540620383,NA,-0.566697556,NA,0,0,0,0
aug_v2a.08606,-0.54044235,NA,NA,NA,0,0,0,0
aug_v2a.23087,-0.540432282,-0.349562959,NA,NA,0,0,0,0
aug_v2a.15904,-0.540255428,NA,-0.48027999,NA,0,0,0,0
aug_v2a.05802,-0.539891698,NA,-0.426272553,-0.489235439,0,0,0,0
aug_v2a.05856,-0.539765281,NA,-0.762232672,-0.501238822,0,0,1,0
aug_v2a.07730,-0.539563768,NA,NA,NA,0,0,0,0
aug_v2a.05639,-0.539037663,NA,NA,NA,0,0,0,0
aug_v2a.13524,-0.538975918,NA,NA,NA,0,0,0,0
aug_v2a.23875,-0.538645954,NA,-0.458882403,-0.416778579,0,0,0,0
aug_v2a.11987,-0.538634189,NA,-0.806142408,-0.989732234,0,0,1,1
aug_v2a.08307,-0.536873933,NA,-0.447000993,-0.376603986,0,0,0,0
aug_v2a.23097,-0.53675399,NA,-0.48021983,NA,0,0,0,0
aug_v2a.12811,-0.536527505,NA,NA,NA,0,0,0,0
aug_v2a.05691,-0.534244013,-0.458095206,-1.012488959,-0.660244593,0,0,1,1
aug_v2a.15819,-0.533735372,NA,NA,NA,0,0,0,0
aug_v2a.17209,-0.533668444,NA,-0.60599226,-0.401755111,0,0,1,0
aug_v2a.05953,-0.532831308,NA,-0.641250587,-0.527159598,0,0,1,0
aug_v2a.14695,-0.532482015,NA,-0.388165143,NA,0,0,0,0
aug_v2a.04092,-0.532246833,NA,-0.756572214,NA,0,0,1,0
aug_v2a.09897,-0.531077752,NA,-0.426883944,NA,0,0,0,0
aug_v2a.16882,-0.530968163,NA,-0.346845539,NA,0,0,0,0
aug_v2a.23257,-0.530722017,NA,NA,0.822547378,0,0,0,1
aug_v2a.12256,-0.530711875,NA,-0.548211136,-0.395968924,0,0,0,0
aug_v2a.00630,-0.530626825,NA,NA,NA,0,0,0,0
aug_v2a.05980,-0.529793333,NA,-0.543298672,-0.441655175,0,0,0,0
aug_v2a.24048,-0.529788153,NA,NA,NA,0,0,0,0
aug_v2a.12345,-0.529542337,NA,-0.977646822,NA,0,0,1,0
aug_v2a.04133,-0.529342776,NA,-0.377905857,NA,0,0,0,0
aug_v2a.19829,-0.52915925,NA,-0.400892843,-0.442337166,0,0,0,0
aug_v2a.19581,-0.528831505,NA,-0.569885996,-0.389444438,0,0,0,0
aug_v2a.17248,-0.528250297,-0.493966154,NA,NA,0,0,0,0
aug_v2a.16892,-0.527700504,NA,-0.73809642,-0.451187115,0,0,1,0
aug_v2a.21231,-0.527528327,NA,NA,0.461302596,0,0,0,0
aug_v2a.16686,-0.527163985,NA,-0.470887237,-0.592410641,0,0,0,0
aug_v2a.13341,-0.527122385,NA,-0.517868777,-0.370762325,0,0,0,0
aug_v2a.20643,-0.527035541,NA,-0.495065474,NA,0,0,0,0
aug_v2a.03078,-0.526491486,NA,-0.608183696,NA,0,0,1,0
aug_v2a.03886,-0.52580263,NA,-0.63790142,NA,0,0,1,0
aug_v2a.10821,-0.525472125,NA,-0.541491604,-0.498666358,0,0,0,0
aug_v2a.00622,-0.525347212,-0.527314199,NA,-0.376718374,0,0,0,0
aug_v2a.02111,-0.525182935,NA,NA,NA,0,0,0,0
aug_v2a.20986,-0.524953354,NA,-0.337960372,NA,0,0,0,0
aug_v2a.11284,-0.524724595,-0.534898515,-0.621659296,-0.542236074,0,0,1,0
aug_v2a.02661,-0.524180406,NA,-0.525103773,NA,0,0,0,0
aug_v2a.05983,-0.523489414,NA,NA,0.629413918,0,0,0,1
aug_v2a.01212,-0.523110333,NA,0.359101051,NA,0,0,0,0
