SH.1d	SH.3d	AH.1d	AH.3d	SC.1d	SC.3d	Met
NA	NA	K02263	K04708	K04256	K15103	K01049
NA	NA	K02265	K04728	K04266	K15255	K01050
NA	NA	K02296	K04728	K04370	K15259	K01052
NA	NA	K02308	K04958	K04377	K15259	K01052
NA	NA	K02311	K04985	K04422	K15260	K01052
NA	NA	K02320	K04988	K04427	K15261	K01052
NA	NA	K02320	K04988	K04441	K15261	K01052
NA	NA	K02326	K05041	K04450	K15261	K01052
NA	NA	K02330	K05048	K04456	K15261	K01054
NA	NA	K02330	K05094	K04487	K15261	K01062
NA	NA	K02350	K05190	K04491	K15279	K01062
NA	NA	K02355	K05289	K04498	K15361	K01065
NA	NA	K02355	K05293	K04498	K15430	K01066
NA	NA	K02358	K05312	K04507	K15443	K01069
NA	NA	K02365	K05360	K04508	K15501	K01077
NA	NA	K02374	K05360	K04534	K16060	K01077
NA	NA	K02375	K05361	K04536	K16288	K01077
NA	NA	K02377	K05399	K04552	K16506	K01078
NA	NA	K02503	K05399	K04558	K16506	K01078
NA	NA	K02564	K05463	K04564	K16669	K01079
NA	NA	K02580	K05543	K04565	K16669	K01080
NA	NA	K02580	K05610	K04567	K16750	K01081
NA	NA	K02583	K05614	K04569	K17044	K01081
NA	NA	K02583	K05641	K04571	K17065	K01082
NA	NA	K02599	K05661	K04571	K17079	K01092
NA	NA	K02599	K05673	K04592	K17079	K01099
NA	NA	K02599	K05674	K04600	K17286	K01102
NA	NA	K02599	K05680	K04615	K17341	K01103
NA	NA	K02599	K05688	K04615	K17341	K01104
NA	NA	K02599	K05688	K04615	K17478	K01106
NA	NA	K02599	K05688	K04638	K17478	K01106
NA	NA	K02684	K05702	K04644	K17495	K01107
NA	NA	K02725	K05706	K04718	K17495	K01110
NA	NA	K02729	K05757	K04797	K17495	K01112
NA	NA	K02729	K05759	K04860	K17542	K01115
NA	NA	K02734	K05765	K04863	K17551	K01115
NA	NA	K02734	K05863	K04892	K17562	K01116
NA	NA	K02734	K05929	K04892	K17592	K01135
NA	NA	K02735	K05954	K04909	K17592	K01135
NA	NA	K02738	K05970	K04915	K17592	K01135
NA	NA	K02739	K05991	K04946	K17592	K01135
NA	NA	K02830	K06063	K04958	K17592	K01135
NA	NA	K02835	K06084	K04978	K17592	K01137
NA	NA	K02863	K06086	K04978	K17592	K01148
NA	NA	K02867	K06094	K04984	K17592	K01183
NA	NA	K02868	K06100	K04984	K17592	K01187
NA	NA	K02875	K06115	K04984	K17592	K01192
NA	NA	K02879	K06115	K04984	K17834	K01194
NA	NA	K02882	K06115	K04984	K17924	K01195
NA	NA	K02883	K06115	K04988	K17988	K01196
NA	NA	K02885	K06125	K05048	K18040	K01196
NA	NA	K02889	K06172	K05218	K18078	K01196
NA	NA	K02894	K06173	K05236	K18260	K01196
NA	NA	K02896	K06173	K05236	K18260	K01204
NA	NA	K02908	K06226	K05236	K18402	K01204
NA	NA	K02911	K06238	K05293	K18408	K01206
NA	NA	K02920	K06268	K05305	K18420	K01206
NA	NA	K02926	K06270	K05315	K18592	K01206
NA	NA	K02927	K06271	K05315	K18592	K01206
NA	NA	K02929	K06271	K05318	K18739	K01251
NA	NA	K02935	K06338	K05323	K18758	K01253
NA	NA	K02938	K06532	K05357	K18932	K01253
NA	NA	K02940	K06560	K05360	K19026	K01255
NA	NA	K02941	K06560	K05402	K19366	K01262
NA	NA	K02941	K06564	K05410	K19374	K01262
NA	NA	K02943	K06569	K05610	K19402	K01265
NA	NA	K02948	K06619	K05641	K19499	K01265
NA	NA	K02949	K06626	K05643	K19511	K01267
NA	NA	K02953	K06630	K05643	K19511	K01267
NA	NA	K02964	K06630	K05657	K19703	K01273
NA	NA	K02967	K06633	K05661	K19720	K01273
NA	NA	K02984	K06645	K05665	K19720	K01279
NA	NA	K02988	K06645	K05673	K19828	K01280
NA	NA	K02991	K06670	K05673	K19863	K01283
NA	NA	K03002	K06676	K05673	K19870	K01283
NA	NA	K03006	K06679	K05692	K20030	K01285
NA	NA	K03016	K06693	K05692	K20091	K01298
NA	NA	K03023	K06693	K05706	K20092	K01301
NA	NA	K03024	K06700	K05728	K20099	K01301
NA	NA	K03027	K06711	K05750	K20175	K01301
NA	NA	K03031	K06711	K05750	K20183	K01301
NA	NA	K03031	K06767	K05752	K20281	K01301
NA	NA	K03062	K06774	K05754	K20294	K01303
NA	NA	K03063	K06816	K05755	K20401	K01303
NA	NA	K03064	K06841	K05756	K20401	K01307
NA	NA	K03068	K06883	K05759	K20478	K01309
NA	NA	K03068	K06924	K05765	K20630	K01309
NA	NA	K03094	K06963	K05770	K20899	K01312
NA	NA	K03097	K06975	K05849	K20899	K01312
NA	NA	K03103	K06997	K05857	K20899	K01312
NA	NA	K03107	K06997	K05929	K20908	K01313
NA	NA	K03125	K07119	K06030	K20908	K01316
NA	NA	K03130	K07203	K06053	K21407	K01316
NA	NA	K03131	K07203	K06062	K22614	K01322
NA	NA	K03131	K07277	K06067	K22615	K01326
NA	NA	K03133	K07374	K06082	K22615	K01332
NA	NA	K03134	K07374	K06086	K22754	K01332
NA	NA	K03135	K07375	K06094	K22754	K01338
NA	NA	K03137	K07375	K06094	K22754	K01338
NA	NA	K03144	K07390	K06096	K22804	K01349
NA	NA	K03163	K07440	K06100	K23168	K01349
NA	NA	K03172	K07565	K06130	K23222	K01357
NA	NA	K03173	K07565	K06130	K23298	K01359
NA	NA	K03173	K07573	K06170	K23368	K01359
NA	NA	K03173	K07575	K06172	K23498	K01359
NA	NA	K03173	K07575	K06172	K23518	K01362
NA	NA	K03174	K07595	K06172	K23730	K01362
NA	NA	K03174	K07752	K06210	K23804	K01362
NA	NA	K03175	K07765	K06228	NA	K01362
NA	NA	K03175	K07817	K06255	NA	K01363
NA	NA	K03175	K07847	K06265	NA	K01363
NA	NA	K03175	K07904	K06268	NA	K01363
NA	NA	K03175	K07914	K06270	NA	K01365
NA	NA	K03175	K07918	K06497	NA	K01365
NA	NA	K03175	K07984	K06530	NA	K01365
NA	NA	K03175	K07989	K06530	NA	K01365
NA	NA	K03188	K08008	K06532	NA	K01365
NA	NA	K03211	K08024	K06537	NA	K01365
NA	NA	K03213	K08073	K06546	NA	K01365
NA	NA	K03233	K08076	K06560	NA	K01372
NA	NA	K03234	K08136	K06560	NA	K01374
NA	NA	K03234	K08171	K06569	NA	K01392
NA	NA	K03238	K08187	K06569	NA	K01403
NA	NA	K03239	K08187	K06580	NA	K01408
NA	NA	K03241	K08187	K06619	NA	K01409
NA	NA	K03253	K08202	K06626	NA	K01411
NA	NA	K03256	K08202	K06629	NA	K01412
NA	NA	K03258	K08202	K06630	NA	K01415
NA	NA	K03262	K08214	K06636	NA	K01415
NA	NA	K03263	K08292	K06639	NA	K01415
NA	NA	K03283	K08333	K06672	NA	K01415
NA	NA	K03283	K08333	K06685	NA	K01415
NA	NA	K03331	K08333	K06689	NA	K01415
NA	NA	K03349	K08339	K06693	NA	K01415
NA	NA	K03353	K08467	K06711	NA	K01425
NA	NA	K03354	K08554	K06753	NA	K01427
NA	NA	K03355	K08576	K06774	NA	K01431
NA	NA	K03355	K08592	K06794	NA	K01431
NA	NA	K03358	K08597	K06816	NA	K01432
NA	NA	K03363	K08606	K06841	NA	K01432
NA	NA	K03377	K08654	K06875	NA	K01441
NA	NA	K03392	K08658	K06890	NA	K01442
NA	NA	K03424	K08729	K06972	NA	K01442
NA	NA	K03424	K08736	K06974	NA	K01442
NA	NA	K03452	K08737	K06975	NA	K01442
NA	NA	K03462	K08762	K06997	NA	K01442
NA	NA	K03462	K08764	K06999	NA	K01442
NA	NA	K03469	K08810	K07002	NA	K01442
