ID	logFC	adj.P.Val
aug_v2a.02062	-0.637943149	0.000159127
aug_v2a.02638	-0.637600562	0.0000786
aug_v2a.06392	-0.637284553	0.0000135
aug_v2a.12743	-0.636732362	0.00000207
aug_v2a.10023	-0.636093011	0.034187185
aug_v2a.00036	-0.635329445	0.003602572
aug_v2a.15770	-0.635202441	0.000218867
aug_v2a.19206	-0.634927778	0.022018289
aug_v2a.02642	-0.634528039	0.010663333
aug_v2a.20551	-0.634515915	0.016013555
aug_v2a.17099	-0.634465646	0.030831461
aug_v2a.02151	-0.634412714	0.004401811
aug_v2a.07854	-0.634323262	0.002553224
aug_v2a.05138	-0.633937518	0.000253121
aug_v2a.00477	-0.633891598	0.009855873
aug_v2a.13891	-0.633873929	0.002304573
aug_v2a.05790	-0.633585105	0.00056685
aug_v2a.21474	-0.633575935	0.0000862
aug_v2a.18246	-0.63321269	0.001125294
aug_v2a.00128	-0.633000331	0.00000539
aug_v2a.22342	-0.632102067	0.036056803
aug_v2a.12927	-0.631240369	0.0000984
aug_v2a.01872	-0.631135504	0.0000114
aug_v2a.01938	-0.630927055	0.002473608
aug_v2a.22297	-0.630528877	0.043620076
aug_v2a.04275	-0.63026114	0.000111517
aug_v2a.18260	-0.629706011	0.000000503
aug_v2a.13322	-0.629344008	0.004357297
aug_v2a.00966	-0.629234971	0.0000397
aug_v2a.08795	-0.628646193	0.008921318
aug_v2a.07393	-0.627346668	0.009128743
aug_v2a.07891	-0.627229208	0.0000424
aug_v2a.10161	-0.627185337	0.042921029
aug_v2a.01306	-0.626491581	0.000767427
aug_v2a.09511	-0.626422659	0.000265792
aug_v2a.14919	-0.626328753	0.002244123
aug_v2a.11701	-0.626168718	0.001819832
aug_v2a.01883	-0.625891666	0.029831218
aug_v2a.23083	-0.625044833	0.0000554
aug_v2a.01687	-0.624894162	0.00000144
aug_v2a.14778	-0.624842569	0.000921688
aug_v2a.14918	-0.624842252	0.003101875
aug_v2a.12570	-0.624711612	0.037167075
aug_v2a.08380	-0.624588568	0.031754636
aug_v2a.23544	-0.624544814	0.005457727
aug_v2a.17153	-0.623905808	0.016560567
aug_v2a.10063	-0.622423597	0.001065134
aug_v2a.10116	-0.622387708	0.003149661
aug_v2a.17839	-0.621318647	0.001648286
aug_v2a.07800	-0.621188703	0.00067606
aug_v2a.22417	-0.620149147	0.014178434
aug_v2a.03324	-0.619897643	0.0030911
aug_v2a.02251	-0.619606094	0.001370528
aug_v2a.03844	-0.619515148	0.017997774
aug_v2a.13336	-0.619106719	0.0000226
aug_v2a.14114	-0.619091602	0.002915086
aug_v2a.11504	-0.618730725	0.000385453
aug_v2a.22133	-0.618609338	0.0000882
aug_v2a.21608	-0.618273787	0.036230563
aug_v2a.13657	-0.618058836	0.001853876
aug_v2a.16566	-0.617884814	0.034434552
aug_v2a.18719	-0.617005051	0.003084871
aug_v2a.16116	-0.616691948	0.045773721
aug_v2a.06801	-0.616555658	0.001215075
aug_v2a.24176	-0.615294785	0.0000128
aug_v2a.04649	-0.615201501	0.000071
aug_v2a.13780	-0.61473603	0.004864172
aug_v2a.02870	-0.613684514	0.003228923
aug_v2a.15319	-0.61366694	0.00070061
aug_v2a.12595	-0.61346818	0.003226024
aug_v2a.15958	-0.612880665	0.007378008
aug_v2a.02554	-0.612585072	0.000530643
aug_v2a.06106	-0.612579092	0.0019952
aug_v2a.00590	-0.61237536	0.0000289
aug_v2a.24505	-0.612260992	0.004187678
aug_v2a.23667	-0.609864824	0.003316784
aug_v2a.05700	-0.609443169	0.002516518
aug_v2a.04648	-0.60934775	0.000000469
aug_v2a.18368	-0.609254459	0.03050434
aug_v2a.19412	-0.608963622	0.008600031
aug_v2a.09331	-0.608590856	0.024292297
aug_v2a.05779	-0.608385436	0.005563093
aug_v2a.15022	-0.608283116	0.000540267
aug_v2a.03873	-0.608196335	0.003400381
aug_v2a.02567	-0.60768716	0.002416381
aug_v2a.14362	-0.607585605	0.018221667
aug_v2a.02977	-0.60681447	0.0000885
aug_v2a.01987	-0.606226485	0.008462681
aug_v2a.23238	-0.605725502	0.00599815
aug_v2a.23246	-0.605593402	0.002132828
aug_v2a.20687	-0.604897458	0.004151656
aug_v2a.17613	-0.604635806	0.00056685
aug_v2a.21543	-0.602892684	0.014871874
aug_v2a.03251	-0.602526171	0.025258052
aug_v2a.23050	-0.60208992	0.0000219
aug_v2a.08415	-0.600957667	1.26E-10
aug_v2a.09581	-0.600800243	0.002466583
aug_v2a.11714	-0.599946845	0.01006314
aug_v2a.10943	-0.599603883	0.003396136
