CL.1d	CL.1d.exp	CL.3d	CL.3d.exp	AH.1d	AH.1d.exp	AH.3d	AH.3d.exp	CH.1d	CH.1d.exp	CH.3d	CH.3d.exp	Met	M12	M13	M14	M15	M21	M24	M25
K00915	-0.397890063	K03934	0.345522109	K00654	-0.370627997	K01103	0.391694721	K10260	-0.292383005	NA	NA	K06569	NA	K06238	NA	NA	K13108	K17494	K12035
K00940	-0.389818061	K03992	-0.603460737	K00654	0.362179291	K01121	0.267209615	K10271	-0.424707124	NA	NA	K09270	NA	K08632	NA	NA	K17500	K17495	K12035
K00942	-0.427828083	K04231	-0.547072458	K00657	-1.012488959	K01127	-0.602086834	K10280	-0.635958317	NA	NA	K04205	NA	K06238	NA	NA	K00972	K17500	K12035
K00942	-0.404966654	K04266	-0.423728267	K00670	0.270851277	K01135	-0.501241415	K10403	0.709880138	NA	NA	K01592	NA	K19719	NA	NA	K10842	K17808	K12161
K01011	-0.418660185	K04358	0.592584381	K00683	0.430151435	K01135	-0.428976389	K10409	-1.095528788	NA	NA	K17341	NA	K19719	NA	NA	K13539	K18384	K12173
K01016	-0.428330096	K04362	0.537205084	K00698	-0.461501271	K01148	-0.798351394	K10413	1.02646351	NA	NA	K14611	NA	K06265	NA	NA	K11323	K18588	K12589
K01047	-0.517076208	K04362	1.015029109	K00699	0.745599793	K01195	0.923363082	K10595	0.739691435	NA	NA	K10407	NA	K17341	NA	NA	K10380	K18674	K12862
K01054	-0.369764286	K04364	0.184349754	K00699	0.853886661	K01197	-0.404411681	K10597	-0.562076614	NA	NA	K13866	NA	K17341	NA	NA	K10478	K19328	K12869
K01056	-0.456554019	K04364	0.278984185	K00710	0.262684678	K01197	0.310744474	K10744	1.152632638	NA	NA	K06584	NA	K17341	NA	NA	K13856	K19511	K12900
K01061	-0.489430222	K04393	0.437582782	K00710	0.355920016	K01201	-0.6678513	K11305	0.629365093	NA	NA	K08187	NA	K17341	NA	NA	K04984	K19514	K13051
K01070	-0.54759274	K04397	-0.820493855	K00710	0.428370757	K01217	-0.28117706	K11347	-1.074736934	NA	NA	K00488	NA	K17341	NA	NA	K16449	K19995	K13513
