Name,moduleColors,moduleID,GS.inf,GS.temp,GS.time,GS.met_Y
aug_v2a.17278,brown,M21,0.184118761,0.148060124,-0.230085549,0.034349274
aug_v2a.17279,blue,M11,-0.307992813,-0.577301461,0.016008311,-0.075673048
aug_v2a.17282,grey,M26,-0.068352474,-0.06508252,0.065093944,0.169553141
aug_v2a.00197,green,M18,0.289874642,0.110383359,0.249260489,0.327922525
aug_v2a.02615,magenta,M13,-0.294100297,0.596133035,0.088299424,0.243982266
aug_v2a.02616,magenta,M13,-0.283477875,0.455928582,0.383710926,0.174349505
aug_v2a.17283,black,M24,-0.083281026,-0.150734702,0.064369907,-0.120312656
aug_v2a.17285,darkgrey,M5,0.199260743,0.157849391,0.241062292,0.147956829
aug_v2a.17287,red,M10,0.053349975,-0.218416387,0.069256315,0.227993491
aug_v2a.17288,turquoise,M20,0.353433721,0.196400098,-0.025943263,0.186951318
aug_v2a.02618,turquoise,M20,0.146154197,0.499518931,0.191043441,0.144398159
aug_v2a.17289,lightgreen,M22,0.030333448,-0.101802163,-0.240838008,-0.329080534
aug_v2a.17290,green,M18,0.406435346,0.290140353,0.471588804,0.497148761
aug_v2a.17291,black,M24,-0.068083691,-0.127444611,-0.175195433,-0.038783498
aug_v2a.17293,brown,M21,0.110332768,0.433859813,-0.155333771,0.05181288
aug_v2a.17297,green,M18,0.450024435,-0.399619889,0.507529714,0.394205949
aug_v2a.02619,turquoise,M20,0.154298688,-0.133269487,0.307327589,0.405933591
aug_v2a.17300,pink,M19,0.36300931,0.314589982,0.210997048,0.338921598
aug_v2a.02621,black,M24,0.067905114,-0.001920751,0.341946685,0.22154657
aug_v2a.17305,pink,M19,0.124734744,0.105734351,0.061961582,0.043883946
aug_v2a.17307,grey,M26,-0.014871019,0.17895656,0.068642052,-0.114559426
aug_v2a.17308,magenta,M13,-0.045732147,0.63170619,-0.062581208,0.165552976
aug_v2a.17309,grey,M26,0.089525755,0.329039824,0.062629651,0.152427433
aug_v2a.17310,grey,M26,0.070714247,0.152624884,0.361481108,0.391666674
aug_v2a.17311,blue,M11,-0.366938966,-0.477463806,-0.072201914,-0.245734516
aug_v2a.02622,red,M10,0.022970968,-0.351239274,0.343700338,0.278212909
aug_v2a.02623,green,M18,0.333117754,-0.110033986,0.589671071,0.416729273
aug_v2a.17312,grey,M26,0.297878653,-0.044721951,-0.126135148,0.145187798
aug_v2a.17314,purple,M6,0.048628464,-0.087442304,0.042709996,-0.102420068
aug_v2a.17316,magenta,M13,-0.129480889,0.835247692,-0.178751663,0.002689392
aug_v2a.17318,yellow,M12,-0.457623828,0.176227828,0.002213036,-0.150812715
aug_v2a.17319,yellow,M12,-0.272643282,0.104797828,-0.150608177,-0.208305382
aug_v2a.17320,blue,M11,-0.298690099,-0.516842677,-0.316510676,-0.326305507
aug_v2a.17321,brown,M21,0.361358274,0.268277379,-0.194792556,0.107446224
aug_v2a.17322,green,M18,0.534242141,-0.042890768,0.577626312,0.537497231
aug_v2a.17323,grey,M26,0.070017543,-0.244861931,-0.332800944,-0.04284996
aug_v2a.02625,grey,M26,0.019200191,0.065034114,-0.157520849,-0.036412698
