Name,AH.d1,AH.d3,SC.d1,SC.d3
aug_v2a.06535,1,0,0,0
aug_v2a.09507,1,0,0,0
aug_v2a.22717,1,0,0,0
aug_v2a.14763,0,1,0,0
aug_v2a.13789,1,0,0,0
aug_v2a.14698,1,0,0,0
aug_v2a.14647,1,0,0,0
aug_v2a.10433,1,0,0,0
aug_v2a.16968,1,0,0,0
aug_v2a.06216,1,0,0,0
aug_v2a.16254,1,0,0,0
aug_v2a.23657,1,0,0,1
aug_v2a.03169,1,1,0,0
aug_v2a.00586,1,0,0,0
aug_v2a.00606,1,0,0,0
aug_v2a.09243,1,1,0,0
aug_v2a.01993,1,0,0,0
aug_v2a.14235,0,1,0,0
aug_v2a.00176,1,0,0,0
aug_v2a.22630,1,0,0,0
aug_v2a.10901,1,1,0,0
aug_v2a.12192,1,1,0,0
aug_v2a.18296,1,0,0,0
aug_v2a.02129,0,0,0,1
aug_v2a.00996,0,0,0,1
aug_v2a.06192,1,0,0,0
aug_v2a.15145,1,0,0,0
aug_v2a.07409,1,1,0,0
aug_v2a.04427,1,0,0,0
aug_v2a.04348,1,0,0,0
aug_v2a.05999,1,0,0,0
aug_v2a.05854,1,1,0,0
aug_v2a.00981,1,0,0,0
aug_v2a.16618,1,0,0,0
aug_v2a.00926,1,0,0,0
aug_v2a.20864,1,0,0,0
aug_v2a.19306,1,0,0,0
aug_v2a.01414,1,0,0,0
aug_v2a.21763,1,0,0,0
aug_v2a.05432,0,1,0,0
aug_v2a.22967,1,0,0,0
aug_v2a.15217,1,0,0,0
aug_v2a.12628,1,1,0,0
aug_v2a.14890,1,0,0,0
aug_v2a.17451,1,1,0,0
aug_v2a.00697,1,0,0,0
aug_v2a.10072,0,1,0,0
aug_v2a.11108,1,0,0,0
aug_v2a.21742,0,1,0,0
aug_v2a.20878,0,1,0,0
aug_v2a.11658,1,0,0,0
aug_v2a.08143,0,1,0,0
aug_v2a.22336,1,1,0,0
aug_v2a.09751,0,1,0,0
aug_v2a.23510,1,0,0,0
aug_v2a.05585,1,0,0,0
aug_v2a.20638,1,1,0,0
aug_v2a.06877,1,0,0,0
aug_v2a.07505,1,1,0,0
aug_v2a.14836,1,0,0,0
aug_v2a.08384,1,0,0,0
aug_v2a.01069,1,1,0,0
aug_v2a.02698,1,0,0,0
aug_v2a.20272,1,0,0,0
aug_v2a.07559,1,1,0,0
aug_v2a.24104,1,0,0,0
aug_v2a.16763,1,0,0,0
aug_v2a.10931,1,0,0,0
aug_v2a.07756,1,1,0,0
aug_v2a.11771,1,1,0,0
aug_v2a.01949,1,0,0,0
aug_v2a.24500,1,0,0,0
aug_v2a.01092,1,1,0,0
aug_v2a.02952,1,1,0,0
aug_v2a.00922,1,0,0,0
aug_v2a.15385,1,1,0,0
aug_v2a.14519,1,1,0,0
aug_v2a.24736,1,0,0,0
aug_v2a.17925,1,1,0,0
aug_v2a.01129,1,0,0,0
aug_v2a.17041,1,1,0,0
aug_v2a.10248,1,0,0,0
aug_v2a.19620,1,0,0,0
aug_v2a.19168,1,0,0,0
aug_v2a.00848,1,0,0,0
aug_v2a.21402,1,1,0,0
aug_v2a.18859,1,0,0,0
aug_v2a.17729,1,1,0,0
aug_v2a.17005,1,1,0,0
aug_v2a.13323,1,1,0,0
aug_v2a.04506,1,0,0,0
aug_v2a.09841,1,0,0,0
aug_v2a.14070,1,0,0,0
aug_v2a.06266,1,0,0,0
aug_v2a.13137,1,0,0,0
aug_v2a.03979,1,1,0,0
aug_v2a.15551,1,0,0,0
aug_v2a.04458,1,0,0,0
aug_v2a.13341,1,0,0,0
aug_v2a.07340,1,1,0,0
aug_v2a.01847,1,0,0,0
aug_v2a.07242,1,0,0,1
aug_v2a.04305,0,1,0,0
aug_v2a.06865,0,0,0,1
aug_v2a.12787,1,0,0,0
aug_v2a.16746,1,0,0,0
aug_v2a.17193,1,0,0,0
aug_v2a.13059,1,0,0,0
aug_v2a.14588,1,1,0,0
aug_v2a.12627,1,0,0,0
aug_v2a.03282,1,0,0,0
aug_v2a.08612,0,1,0,0
aug_v2a.19816,1,0,0,0
aug_v2a.17928,1,1,0,0
aug_v2a.23649,1,0,0,0
aug_v2a.20940,1,0,0,0
aug_v2a.09731,1,1,0,0
aug_v2a.21193,0,1,0,1
aug_v2a.23295,1,0,0,0
aug_v2a.15322,1,0,0,0
aug_v2a.09482,1,0,0,0
aug_v2a.23971,1,0,0,0
aug_v2a.14282,1,0,0,0
aug_v2a.24690,1,0,0,0
aug_v2a.04110,1,0,0,0
aug_v2a.04143,1,1,0,0
aug_v2a.24414,1,1,0,0
aug_v2a.13043,1,0,0,0
aug_v2a.03886,1,0,0,0
aug_v2a.05856,1,0,0,0
aug_v2a.11987,1,1,0,0
aug_v2a.10627,1,0,0,0
aug_v2a.16892,1,0,0,0
aug_v2a.11301,0,0,0,1
aug_v2a.18972,1,1,0,0
aug_v2a.04646,1,0,0,0
aug_v2a.08904,1,0,0,0
aug_v2a.14330,1,0,0,0
aug_v2a.20028,1,0,0,0
aug_v2a.04856,1,1,0,0
aug_v2a.06549,1,0,0,0
aug_v2a.21286,0,1,0,0
aug_v2a.22072,1,0,0,0
aug_v2a.13108,0,1,0,0
aug_v2a.14905,1,0,0,0
aug_v2a.07045,1,1,0,0
aug_v2a.16354,1,1,0,1
aug_v2a.02144,1,1,0,0
aug_v2a.23257,0,1,0,0
aug_v2a.12345,1,0,0,0
aug_v2a.05417,1,0,0,0
aug_v2a.21057,0,0,0,1
aug_v2a.08307,0,0,1,0
aug_v2a.19581,0,0,1,0
aug_v2a.21593,0,0,1,0
aug_v2a.00769,0,0,1,0
aug_v2a.02501,0,0,1,0
aug_v2a.01247,1,0,1,0
aug_v2a.00918,0,0,1,0
aug_v2a.08033,0,0,1,0
aug_v2a.05534,0,0,1,0
aug_v2a.17912,0,0,1,0
aug_v2a.01887,0,0,1,0
aug_v2a.11723,0,0,1,0
aug_v2a.03587,0,0,1,0
aug_v2a.02111,0,0,1,0
aug_v2a.02661,0,0,1,0
aug_v2a.14788,0,0,1,0
aug_v2a.19233,1,0,1,0
aug_v2a.23348,0,0,1,0
aug_v2a.03051,0,0,1,0
aug_v2a.17971,0,0,1,0
aug_v2a.07187,0,0,1,0
aug_v2a.03078,0,0,1,0
aug_v2a.06262,0,0,1,0
aug_v2a.07031,0,0,1,0
aug_v2a.10444,1,1,1,0
aug_v2a.06376,0,0,1,0
aug_v2a.15955,0,0,1,0
aug_v2a.08855,0,0,1,0
aug_v2a.18093,0,0,1,0
aug_v2a.18637,1,0,1,0
aug_v2a.00999,0,0,1,0
aug_v2a.09488,0,0,1,0
aug_v2a.08496,0,0,1,0
aug_v2a.21303,0,0,1,0
aug_v2a.17982,0,0,1,0
aug_v2a.14914,0,0,1,0
aug_v2a.10424,0,0,1,0
aug_v2a.03703,0,0,1,0
aug_v2a.02097,0,0,1,0
aug_v2a.01162,0,0,1,0
aug_v2a.02919,0,0,1,0
aug_v2a.05453,1,0,1,0
aug_v2a.02766,0,0,1,0
aug_v2a.04903,1,0,1,0
aug_v2a.00466,0,0,1,0
aug_v2a.18520,0,1,1,0
aug_v2a.09618,1,1,1,0
aug_v2a.11165,1,1,1,0
aug_v2a.00055,1,1,1,0
aug_v2a.18608,0,0,1,0
aug_v2a.23097,0,0,1,0
aug_v2a.18699,0,0,1,0
aug_v2a.21256,0,0,1,0
aug_v2a.21967,1,0,1,0
aug_v2a.21839,1,1,1,0
aug_v2a.04092,1,0,1,0
aug_v2a.05221,0,0,1,0
aug_v2a.24711,1,0,1,0
aug_v2a.10675,0,0,1,0
aug_v2a.05953,1,1,1,0
aug_v2a.02656,0,0,1,0
aug_v2a.04487,0,1,1,0
aug_v2a.01937,0,0,1,0
aug_v2a.04109,0,0,1,0
aug_v2a.18858,0,0,1,0
aug_v2a.19037,1,1,1,0
aug_v2a.00614,0,0,1,0
aug_v2a.10798,1,0,1,0
aug_v2a.07820,0,0,1,0
aug_v2a.02761,0,1,1,0
aug_v2a.16076,0,0,1,0
aug_v2a.24535,1,1,1,0
aug_v2a.10168,1,1,1,0
aug_v2a.02314,0,0,1,0
aug_v2a.00800,1,1,1,0
aug_v2a.02276,0,1,1,0
aug_v2a.00181,0,0,1,0
aug_v2a.17894,0,0,1,0
aug_v2a.11284,1,0,1,1
aug_v2a.10504,0,0,1,0
aug_v2a.05997,0,0,1,0
aug_v2a.22263,0,0,1,0
aug_v2a.20245,0,0,1,0
aug_v2a.01789,0,0,1,0
aug_v2a.03134,0,0,1,0
aug_v2a.11814,0,0,1,0
aug_v2a.05691,1,1,1,0
aug_v2a.20171,0,0,1,0
aug_v2a.03940,0,0,1,0
aug_v2a.01102,1,1,1,0
aug_v2a.12640,0,0,1,0
aug_v2a.08527,1,1,1,0
aug_v2a.03318,0,0,1,0
aug_v2a.01907,0,0,1,0
